date_group,class,school,grade,deltatime,bindcash,combatscore,sex
0,0,5.411279,45.74553,22977060,222562.8831,86744.74966,0.923659
0,1,5.411133,23.572045,2149119,50374.59063,26594.80941,0.288004
0,2,5.457275,51.838337,84368370,352469.8152,125174.9723,1.277136
0,3,5.491607,49.578897,38045790,293812.6954,107085.942,1.144365
0,4,5.594203,46.463768,145198900,209409.0435,95554.50725,1
0,5,5.453599,51.734605,56143260,369998.6366,121448.3886,1.299219
0,6,5.403448,37.903775,10841270,133662.6753,56855.36374,0.621863
1,0,5.42806,24.938228,2442286,54475.31434,28808.28471,0.300785
1,1,5.493614,47.960304,27901180,240594.5885,97961.57957,0.957887
1,2,5.483212,52.007299,74170010,333275.9328,125297.1971,1.224818
1,3,5.511278,51.819549,121581400,311157.2556,122225.2932,1.255639
1,4,5.473082,40.814328,13043180,147042.5551,65943.09093,0.671895
1,5,5.166667,43.333333,349502000,140403.1667,64489.33333,0.833333
1,6,5.413951,51.294807,46358610,326830.8366,118785.028,1.164969
2,0,5.433242,23.083058,1849281,50293.27034,27217.77653,0.24322
2,1,5.496,49.880471,34468640,282509.208,109959.9816,1.025882
2,2,5.469945,52.32969,78707990,305528.6521,128218.3588,1.169399
2,3,5.550979,37.390874,9520312,113494.1948,55254.40359,0.480315
2,4,5.445736,52.096899,51950550,329119.1364,123863.2016,1.154264
2,5,5.590909,51.212121,134181700,276306.2273,118014.4697,1.212121
2,6,5.401909,45.738973,20432950,202073.0349,86203.43235,0.796577
3,0,5.47815,26.387046,2916102,61832.21883,33084.90544,0.282775
3,1,5.494194,52.937419,47788790,327024.1381,128708.7071,1.149677
3,2,5.431849,43.049523,14161270,169325.5913,76025.72626,0.643344
3,3,5.4,46.35,160005500,155648.025,87840.1,0.825
3,4,5.444106,49.517871,29063350,258850.3654,106455.2844,0.925095
3,5,5.487696,54.357942,78763330,360054.7136,140946.5257,1.268456
3,6,5.333333,38,414790700,161953.6667,70855,0.333333
